ticker,timestamp,open,high,low,close,vol,liq,rsi,macd,cci,adx,turbulence
PHR,20240620,56511.2418,56696.52456,55862.75214,56233.31766,0.2574620453597622,1409.4724242857135,48.0690285031974,170.20460023516353,-92.16467463479462,18.024022941910115,103.06244487815228
QNS,20240620,44523.5884797217,45064.3608094349,44343.331036484,44727.2793905803,0.1127459868461594,684.0126194289207,52.40064699909255,187.29537491400697,-59.68094038623485,45.82452625049289,103.06244487815228
RAL,20240620,121978.7155687968,130504.1096676912,121978.7155687968,130504.1096676912,0.2577437570868413,1826.8701640488,76.43908424301989,730.4822962600592,413.190730837789,19.3657183190656,103.06244487815228
SBA,20240620,30943.25,30943.25,30562.41,30943.25,0.085365348363206,440.7549729285716,60.910925771848,332.85043975045846,3.573810208486885,24.395000356109687,103.06244487815228
SHP,20240620,32404.227408,32676.53184,32268.075192,32494.995552,0.1247373361691218,324.1719428571432,57.93109956829046,213.93441912666825,141.61220043573505,15.11928107968918,103.06244487815228
SNZ,20240620,35115.08,39456.23,34632.73,37232.5965,0.4960754134980403,1647.5008785714292,64.59720718399504,688.6088505861553,163.51972031337382,23.48408113798553,103.06244487815228
TCL,20240620,33854.24,33854.24,31563.0,33293.12,0.2102762238736921,966.2526479999988,46.75967294749688,307.29976701634587,-61.80577995168554,35.06934941704875,103.06244487815228
TCM,20240620,46970.624247,46970.624247,45623.474412,46791.004269,0.3315492053435676,1343.0731029993217,70.04991295021614,1822.458852344564,119.95570958862368,34.44615146722326,103.06244487815228
TLG,20240620,44805.68115947,45146.40877285,44635.31735278,44890.863062815,0.133819952099416,790.9748167749993,57.946309591124574,511.8483096352429,26.80614579928188,33.52799147215712,103.06244487815228
VCS,20240620,74535.438582,77420.081024,74349.332618,77047.869096,0.4324350596232683,3027.412302954286,72.0473580802267,3394.9202100100665,102.7384873160568,32.6346790740483,103.06244487815228
VIC,20240620,41550.0,41800.0,41350.0,41450.0,0.1688922033947247,810.7142857142857,26.524589366954828,-892.182845162497,-158.924042183954,28.96390025984976,103.06244487815228
VJC,20240620,103100.0,103900.0,102300.0,103800.0,0.1877624772726525,1907.142857142857,36.08657410094494,-1543.844561893202,-143.66944655041718,18.15036975632823,103.06244487815228
VLB,20240620,34051.425534,38850.000406,33405.463532,36083.43743172,0.3779836347954309,1435.2880197499994,73.01714165205787,863.3006033327256,166.05474013734246,34.12910661108492,103.06244487815228
VPI,20240620,47831.42,48414.73,47248.11,47831.42,0.13595933904836,809.4914285714289,41.45611337186856,-255.91707763446905,-96.31892914302269,17.608894960710206,103.06244487815228
VSH,20240620,46551.1083684285,47209.4068706083,45610.6819367431,46598.1296900128,0.0545323884274291,678.450497144471,60.19761915810628,302.21093408927845,59.25925925926285,13.47303679311006,103.06244487815228
ACB,20240621,20762.175,20762.175,20469.75,20511.525,0.1364714147574503,325.2482142857137,55.17326767745679,197.15109327735627,21.44175097028836,29.62106065464645,90.45988785917372
BMI,20240621,23541.87178,23719.546284,23230.941398,23541.87178,0.292593084157595,777.9148190704,61.898768865803866,366.6548475871714,50.05866253304615,24.36677709604041,90.45988785917372
CDC,20240621,15009.43,15009.43,14895.145,14971.335,0.0682159076160477,209.52250000000012,47.71138967910554,-26.10566780352201,-37.73584905660474,19.4276038595611,90.45988785917372
CHP,20240621,30341.331006756,30519.8094244428,30341.331006756,30519.8094244428,0.0950283574459438,325.08568935810007,57.14106802263685,387.92119689896936,-114.71861471861382,22.168409467855646,90.45988785917372
DP3,20240621,60616.92,60616.92,59284.68,59950.8,0.1644083978373531,1257.471428571429,48.50426708541585,-68.3415948337788,9.551098376314064,23.67908140960164,90.45988785917372
DSN,20240621,52241.245735,53261.94503,52241.245735,53261.94503,0.085147305614456,477.2100600000002,72.91439421173274,187.5217745347836,375.1937984496095,14.74572750633794,90.45988785917372
EID,20240621,23182.5,23646.15,23182.5,23646.15,0.2038999766763727,370.9200000000001,66.4370340835149,348.7829139215064,169.36603424340714,19.10243515428356,90.45988785917372
FOX,20240621,68895.2232556,71170.66182184,68263.1569872,69723.230067204,0.6636489689684283,4717.426594203403,70.78932128067815,5700.19967769584,63.12585274580373,55.12942434985558,90.45988785917372
FPT,20240621,114653.101797156,116536.871953644,114139.346299932,116536.871953644,0.2498784678025065,2970.500034582671,75.60560660840405,4673.995687983857,126.16694208955217,51.51426326453928,90.45988785917372
IDV,20240621,33922.74816,34174.027776,32750.109952,32917.629696,0.2224310166369156,1035.0327040000006,46.89686786122041,340.21657228322874,-27.87928001082678,36.23716047698134,90.45988785917372
MCH,20240621,130734.7547559445,131330.0860617548,130377.5559724582,130982.4125791615,0.334161720760657,4285.747546863741,77.24830277918517,8259.041268000947,66.96610804198946,41.48178091379806,90.45988785917372
MPC,20240621,17310.02,19117.11,17310.02,18275.3865,0.3359037147940443,728.6784714285719,69.60247668666962,357.5831857681151,159.92052980132456,37.80094639288544,90.45988785917372
NCT,20240621,93237.2,94664.3,93237.2,94664.3,0.1279368352525534,1189.2500000000032,80.19331201682405,1691.1452817653626,153.81059686831878,33.01282545255579,90.45988785917372
NTC,20240621,208523.955,208523.955,201043.275,205180.09104,0.3042181129574888,6959.236528928566,48.04817299432439,2975.495677050785,-41.06636406687525,26.52618125576227,90.45988785917372
PGC,20240621,13707.175,13707.175,13567.78,13707.175,0.3397782641649092,467.3615646428569,49.28097252880093,177.03347871330516,-71.88149824444548,37.52936981091561,90.45988785917372
PHR,20240621,56233.31766,56974.4487,56048.0349,56418.60042,0.2576244765371739,1363.1517342857137,49.07011805116717,127.63276144065458,-79.39142461964003,17.326178120033113,90.45988785917372
QNS,20240621,44703.8459229594,44884.1033661972,44523.5884797217,44700.2407740947,0.1115766003535581,651.8237902793283,52.02089475220427,168.6082916197338,-55.69762774101942,45.254178463250526,90.45988785917372
RAL,20240621,135844.19168568,139591.617663216,133033.622202528,139591.617663216,0.3431614997513743,2435.8268853984,85.41542935064639,1962.6248366372893,501.2482361879978,23.571819325211603,90.45988785917372
SBA,20240621,30657.62,30943.25,30562.41,30848.04,0.0867052693376901,448.8471428571432,57.81342057594637,302.93318614289456,-27.44414295704373,23.17734280095876,90.45988785917372
SHP,20240621,32494.995552,32585.763696,32313.459264,32494.995552,0.1247524100956568,324.1719428571432,57.93109956829047,214.3351941379188,117.87564766839265,14.875132400874447,90.45988785917372
SNZ,20240621,37430.36,38684.47,35500.96,36741.5642,0.499461637067648,1785.3151642857151,61.5199273186904,768.3961684321184,131.38904024947882,25.310722621807525,90.45988785917372
TCL,20240621,33854.24,33854.24,33293.12,33339.88,0.2102316188219229,974.9399879999984,47.51522151077157,245.73090128046897,-15.719605354445868,33.93216553924782,90.45988785917372
TCM,20240621,46791.004269,46970.624247,45174.424467,45354.044445,0.3299964199860107,1395.5587020708429,59.85443526939947,1687.638016405603,76.9083586594224,34.30958355208621,90.45988785917372
TLG,20240621,45231.590676195,45231.590676195,44720.499256125,44805.68115947,0.1316135615866287,797.0592384424999,56.58643464943478,468.2103929160876,24.65166130761014,32.46085921730467,90.45988785917372
VCS,20240621,77047.869096,77233.97506,75186.809456,76303.44524,0.4026652647132563,3017.9155814770284,69.26600534396448,3450.9608195002365,94.15264248252012,34.090535071071024,90.45988785917372
VIC,20240621,41450.0,41650.0,41150.0,41650.0,0.1689505487613768,771.4285714285714,29.64538387182951,-904.2651742681336,-140.84152179390256,30.801567299232293,90.45988785917372
VJC,20240621,103900.0,104000.0,101900.0,102500.0,0.161611276373719,1864.2857142857144,32.76579204124029,-1690.9106496611205,-139.93491399349134,19.071831274942586,90.45988785917372
VLB,20240621,35989.31154,36358.432684,35251.069252,35903.49087402,0.374114846299471,1314.5985885599991,71.25191362010088,979.1819734787568,141.7096815006479,36.466690788060525,90.45988785917372
VPI,20240621,47914.75,48331.4,47331.44,47831.42,0.1350787081542864,773.7785714285716,41.45611337186856,-273.32184553079423,-88.34338811455441,17.46389204165102,90.45988785917372
VSH,20240621,46457.06572526,46927.2789411027,46457.06572526,46598.1296900128,0.0545323884274291,698.6024921091567,60.19761915810628,289.8962671660993,94.7498338555066,13.47191691720773,90.45988785917372
ACB,20240624,20553.3,20553.3,19968.45,20135.55,0.1486458508608542,346.13571428571333,46.32655811036692,151.86979289017108,-164.4997821650498,28.159546961504983,82.98646320294726
BMI,20240624,23719.546284,23808.383536,22076.057122,22209.313,0.3260657561379811,839.3965429724002,45.939092822095645,274.4355291399952,-87.68375589719153,23.37816884674224,82.98646320294726
CDC,20240624,15009.43,15047.525,14933.24,14971.335,0.0651855601604381,195.917142857143,47.71138967910554,-24.445181620816584,-12.820512820512771,20.1566946715826,82.98646320294726
CHP,20240624,30519.8094244428,30519.8094244428,29805.8957536956,29895.134962539,0.10941927594916,350.58260617050007,42.54899394410826,295.93400029286204,-202.0684168655538,22.31560416496305,82.98646320294726
DP3,20240624,59950.8,60141.12,59570.16,59950.8,0.1640805643301761,1277.8628571428574,48.50426708541585,-71.7356445347832,0.7227298539062016,22.344752717260928,82.98646320294726
DSN,20240624,53169.154185,54282.644325,52890.78165,53261.94503,0.0844597120540837,556.7450700000003,72.91439421173274,261.0060192881574,359.64391691394303,17.27873091876496,82.98646320294726
EID,20240624,23646.15,24573.45,23367.96,23646.15,0.2038999766763727,450.4028571428574,66.4370340835149,379.7950439425549,200.43572984749537,20.78561970129644,82.98646320294726
FOX,20240624,69843.3226582,71423.4883292,67631.0907188,68991.9293946652,0.6539924969947554,4402.657592540202,68.41839175820944,5436.022237909572,56.37144506678786,54.98260997733427,82.98646320294726
FPT,20240624,115594.9868754,116023.11645642,113026.20938928,113111.835305484,0.2852825575329966,3094.496147065064,65.27988178209534,4543.246730049679,93.58970906507136,51.775208106558686,82.98646320294726
IDV,20240624,33503.9488,33503.9488,31828.75136,31828.75136,0.2508389142490352,1112.8097280000004,37.72982717536557,176.5946293631132,-105.62971561230478,34.66159673473895,82.98646320294726
MCH,20240624,131925.417367565,133175.6131097667,129186.8933608377,131332.467386978,0.3064002839416018,4315.514112154256,77.59711925829427,7947.990147811535,66.0806214688275,40.47076412069386,82.98646320294726
MPC,20240624,17975.79,19117.11,17214.91,18184.0809,0.3316187615948675,850.9627571428575,67.77815546544096,399.811969044189,134.85061586327438,38.98539113841523,82.98646320294726
NCT,20240624,97042.8,97994.2,95140.0,97708.78,0.1606269306430612,1393.1214285714304,85.66167646593136,2051.313091385164,212.12121212121207,34.931128444702686,82.98646320294726
NTC,20240624,205718.7,205718.7,200295.207,201448.166805,0.3126640576702605,6957.633526071426,43.59394513434851,2087.446778792073,-70.95165290981313,24.71812535383749,82.98646320294726
